"id","current_rate","timestamp"
"1","62938.87","2024-04-27 18:00:03"
"2","62790.60","2024-04-27 19:00:05"
"3","62756.22","2024-04-27 20:00:03"
"4","62926.56","2024-04-27 21:00:03"
"5","63177.71","2024-04-27 22:00:03"
"6","63106.45","2024-04-27 23:00:03"
"7","62927.62","2024-04-28 00:00:03"
"8","62831.02","2024-04-28 01:00:02"
"9","63241.53","2024-04-28 02:00:03"
"10","63161.06","2024-04-28 03:00:04"
"11","63273.70","2024-04-28 04:00:03"
"12","63227.43","2024-04-28 05:00:03"
"13","63241.85","2024-04-28 06:00:03"
"14","63258.96","2024-04-28 07:00:03"
"15","63474.81","2024-04-28 08:00:03"
"16","63585.81","2024-04-28 09:00:02"
"17","63594.35","2024-04-28 10:00:04"
"18","63947.82","2024-04-28 11:00:04"
"19","64052.73","2024-04-28 12:00:04"
"20","63888.78","2024-04-28 13:00:03"
"21","63867.53","2024-04-28 14:00:02"
"22","63899.72","2024-04-28 15:00:04"
"23","63905.95","2024-04-28 16:00:02"
"24","63700.19","2024-04-28 17:00:04"
"25","63695.33","2024-04-28 18:00:04"
"26","63584.54","2024-04-28 19:00:03"
"27","63475.62","2024-04-28 20:00:03"
"28","63571.85","2024-04-28 21:00:03"
"29","63780.54","2024-04-28 22:00:02"
"30","63495.90","2024-04-28 23:00:02"
"31","63473.23","2024-04-29 00:00:04"
"32","63603.02","2024-04-29 01:00:11"
"33","63696.51","2024-04-29 02:00:03"
"34","63748.10","2024-04-29 03:00:02"
"35","63750.33","2024-04-29 04:00:03"
"36","63637.54","2024-04-29 05:00:03"
"37","63649.95","2024-04-29 06:00:03"
"38","63120.32","2024-04-29 07:00:03"
"39","62986.37","2024-04-29 08:00:02"
"40","63205.90","2024-04-29 09:00:03"
"41","63195.32","2024-04-29 10:00:03"
"42","62722.12","2024-04-29 11:00:03"
"43","62611.63","2024-04-29 12:00:03"
"44","62610.55","2024-04-29 13:00:02"
"45","62358.38","2024-04-29 14:00:03"
"46","62028.26","2024-04-29 15:00:03"
"47","62338.11","2024-04-29 16:00:03"
"48","62365.06","2024-04-29 17:00:03"
"49","62365.42","2024-04-29 18:00:04"
"50","62521.90","2024-04-29 19:00:04"
"51","62315.36","2024-04-29 20:00:04"
"52","62124.47","2024-04-29 21:00:03"
"53","61970.02","2024-04-29 22:00:03"
"54","62761.56","2024-04-29 23:00:03"
"55","62970.31","2024-04-30 00:00:03"
"56","62871.78","2024-04-30 01:00:04"
"57","63021.56","2024-04-30 02:00:05"
"58","62809.15","2024-04-30 03:00:04"
"59","62746.83","2024-04-30 04:00:04"
"60","62948.80","2024-04-30 05:00:04"
"61","62958.41","2024-04-30 06:00:04"
"62","63784.44","2024-04-30 07:00:03"
"63","63810.38","2024-04-30 08:00:03"
"64","64008.07","2024-04-30 09:00:02"
"65","64010.34","2024-04-30 10:00:02"
"66","63790.01","2024-04-30 11:00:03"
"67","63702.47","2024-04-30 12:00:03"
"68","63493.31","2024-04-30 13:00:03"
"69","63232.18","2024-04-30 14:00:05"
"70","63412.85","2024-04-30 15:00:05"
"71","63154.20","2024-04-30 16:00:04"
"72","62238.75","2024-04-30 17:00:03"
"73","61716.58","2024-04-30 18:00:03"
"74","61727.17","2024-04-30 19:00:04"
"75","61230.52","2024-04-30 20:00:03"
"76","61158.50","2024-04-30 21:00:04"
"77","61251.85","2024-04-30 22:00:03"
"78","61250.83","2024-04-30 23:00:03"
"79","60675.52","2024-05-01 00:00:03"
"80","60470.24","2024-05-01 01:00:03"
"81","60102.22","2024-05-01 02:00:02"
"82","60079.71","2024-05-01 03:00:03"
"83","59430.68","2024-05-01 04:00:03"
"84","59774.08","2024-05-01 05:00:04"
"85","60152.12","2024-05-01 06:00:03"
"86","60510.54","2024-05-01 07:00:04"
"87","60740.28","2024-05-01 08:00:03"
"88","60158.81","2024-05-01 09:00:02"
"89","60062.38","2024-05-01 10:00:04"
"90","59751.34","2024-05-01 11:00:03"
"91","60101.80","2024-05-01 12:00:03"
"92","60229.75","2024-05-01 13:00:03"
"93","59959.81","2024-05-01 14:00:03"
"94","59719.84","2024-05-01 15:00:02"
"95","57342.07","2024-05-01 16:00:02"
"96","56915.24","2024-05-01 17:00:02"
"97","57139.42","2024-05-01 18:00:03"
"98","57447.01","2024-05-01 19:00:03"
"99","57808.32","2024-05-01 20:00:03"
"100","58161.48","2024-05-01 21:00:04"
"101","57449.22","2024-05-01 22:00:08"
"102","57355.88","2024-05-01 23:00:03"
"103","56873.35","2024-05-02 00:00:03"
"104","57081.00","2024-05-02 01:00:04"
"105","57555.77","2024-05-02 02:00:03"
"106","58245.85","2024-05-02 03:00:03"
"107","57240.15","2024-05-02 04:00:02"
"108","57429.94","2024-05-02 05:00:03"
"109","57878.53","2024-05-02 06:00:03"
"110","57978.12","2024-05-02 07:00:04"
"111","58388.33","2024-05-02 08:00:03"
"112","57686.64","2024-05-02 09:00:02"
"113","57136.28","2024-05-02 10:00:03"
"114","57424.32","2024-05-02 11:00:03"
"115","57472.97","2024-05-02 12:00:02"
"116","57461.02","2024-05-02 13:00:05"
"117","57297.03","2024-05-02 14:00:02"
"118","57563.78","2024-05-02 15:00:03"
"119","57633.65","2024-05-02 16:00:03"
"120","57801.71","2024-05-02 17:00:04"
"121","57769.75","2024-05-02 18:00:03"
"122","57675.62","2024-05-02 19:00:03"
"123","58537.69","2024-05-02 20:00:03"
"124","58799.32","2024-05-02 21:00:03"
"125","58382.01","2024-05-02 22:00:03"
"126","59024.81","2024-05-02 23:00:03"
"127","59350.78","2024-05-03 00:00:04"
"128","59044.07","2024-05-03 01:00:02"
"129","59075.41","2024-05-03 02:00:02"
"130","59244.92","2024-05-03 03:00:03"
"131","59184.64","2024-05-03 04:00:04"
"132","58881.89","2024-05-03 05:00:03"
"133","59219.42","2024-05-03 06:00:03"
"134","59361.94","2024-05-03 07:00:04"
"135","59153.32","2024-05-03 08:00:03"
"136","59058.03","2024-05-03 09:00:03"
"137","59413.46","2024-05-03 10:00:02"
"138","59562.33","2024-05-03 11:00:03"
"139","59803.22","2024-05-03 12:00:03"
"140","59613.63","2024-05-03 13:00:03"
"141","59550.75","2024-05-03 14:00:03"
"142","59326.50","2024-05-03 15:00:03"
"143","59141.74","2024-05-03 16:00:02"
"144","59357.32","2024-05-03 17:00:03"
"145","59512.32","2024-05-03 18:00:04"
"146","58934.91","2024-05-03 19:00:03"
"147","59093.45","2024-05-03 20:00:03"
