"id","current_rate","timestamp"
"1","2966.38","2024-04-29 00:15:44"
"2","2980.23","2024-04-29 01:00:11"
"3","2994.08","2024-04-29 03:38:00"
"4","3007.93","2024-04-29 05:11:58"
"5","3021.78","2024-04-29 07:10:12"
"6","3035.64","2024-04-29 09:45:41"
"7","3039.49","2024-04-29 10:46:09"
"8","3043.34","2024-04-29 11:23:29"
"9","3057.19","2024-04-29 12:40:59"
"10","3090.23","2024-04-30 04:28:41"
"11","3073.28","2024-04-30 06:40:53"
"12","3076.32","2024-04-30 09:07:12"
"13","3089.37","2024-04-30 12:53:34"
"14","3082.41","2024-04-30 13:15:52"
"15","3105.46","2024-04-30 14:39:17"
"16","3128.50","2024-04-30 15:43:58"
"17","3121.55","2024-04-30 16:49:09"
"18","3124.59","2024-04-30 17:09:35"
"19","3147.64","2024-05-01 00:22:27"
"20","3150.68","2024-05-01 04:51:01"
"21","3133.73","2024-05-01 06:49:29"
"22","3146.77","2024-05-01 08:19:38"
"23","3149.82","2024-05-01 10:29:30"
"24","3172.86","2024-05-01 12:08:57"
"25","3175.91","2024-05-01 14:15:31"
"26","3178.95","2024-05-01 17:08:51"
"27","3131.99","2024-05-01 19:31:56"
"28","3125.04","2024-05-01 20:15:04"
"29","3138.08","2024-05-01 21:38:06"
"30","3151.13","2024-05-02 03:16:21"
"31","3184.17","2024-05-02 05:49:17"
"32","3177.22","2024-05-02 08:30:37"
"33","3160.26","2024-05-02 10:14:23"
"34","3163.31","2024-05-02 12:28:17"
"35","3166.35","2024-05-02 13:38:47"
"36","3169.40","2024-05-02 14:59:04"
"37","3152.44","2024-05-02 15:40:33"
"38","3155.49","2024-05-02 16:57:23"
"39","3168.53","2024-05-02 17:44:52"
"40","3161.58","2024-05-02 18:37:56"
"41","3154.62","2024-05-03 02:37:28"
"42","3217.67","2024-05-03 07:10:11"
"43","3210.71","2024-05-03 09:58:44"
"44","3233.76","2024-05-03 12:47:07"
"45","3246.80","2024-05-03 14:41:28"
"46","3259.85","2024-05-03 16:06:02"
"47","3242.89","2024-05-03 18:34:45"
"48","3255.94","2024-05-03 19:17:58"
"49","3228.98","2024-05-03 20:32:36"
"50","3212.03","2024-05-03 21:11:45"
